model,title,date,paper_link,project_link,publication
,Brand > Logo: Visual Analysis of Fashion Brands,201810,https://arxiv.org/abs/1810.09941,,ECCVW 2018
FashionNet,DeepFashion: Powering Robust Clothes Recognition and Retrieval with Rich Annotations,201606,http://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/Liu_DeepFashion_Powering_Robust_CVPR_2016_paper.pdf,https://liuziwei7.github.io/projects/DeepFashion.html,CVPR 2016
DFA,Fashion Landmark Detection in the Wild,201608,https://arxiv.org/abs/1608.03049,https://github.com/liuziwei7/fashion-landmarks,ECCV 2016
BCRNN,Attentive Fashion Grammar Network for Fashion Landmark Detection and Clothing Category Classification,201806,http://openaccess.thecvf.com/content_cvpr_2018/papers/Wang_Attentive_Fashion_Grammar_CVPR_2018_paper.pdf,,CVPR 2018
,Automatic Spatially-aware Fashion Concept Discovery,201708,https://arxiv.org/abs/1708.01311,https://github.com/xthan/fashion-200k,ICCV 2017
FashionBrain,FashionBrain Project: A Vision for Understanding Europe's Fashion Data Universe,201710,https://arxiv.org/abs/1710.09788,https://fashionbrain-project.eu/,KDDW 2017
,Studio2Shop: from studio photo shoots to fashion articles,201801,https://arxiv.org/abs/1807.00556,,ICPRAM 2018
DeepFashion2,DeepFashion2: A Versatile Benchmark for Detection Pose Estimation Segmentation and Re-Identification of Clothing Images,201901,https://arxiv.org/abs/1901.07973,https://github.com/switchablenorms/DeepFashion2,CVPR 2019
